aback you 55 abase
and 472 about and
90 about new 46
about man 76 about
and 168 about was
42 about out 46
about and 88 about
his 136 about new
130 about one 145
about our 85 about
and 78 about and
305 about and 5483
about are 113 about
being 195 about but
133 about for 260
about had 46 about
has 54 about than
357 about that 794
about was 367 about
with 252 about and
241 about and 77
about and 76 about
and 155 about out
296 about and 175
about all 248 about
and 13235 about are
150 about but 453
about can 90 about
for 1495 about now
93 about that 103
about they 43 about
this 337 about was
132 about with 1974
about and 156 about
aid 102 about and
1672 about art 731
about kings 65 about
law 157 about men
89 about than 62
about that 53 about
and 222 about being
56 about and 109
about and 116 about
bob 48 about and
57 about and 93
about and 60 about
and 41 about meat
46 about and 926
about that 97 about
and 55 about and
116 about and 220
about and 190 about
than 47 about use
108 about and 63
about aid 77 about
air 103 about and
619 about gas 57
about job 621 about
long 193 about net
83 about non 112
about oil 533 about
one 51 about pay
82 about real 665
about tax 1732 about
things 610 about use
545 about war 191
about and 48 about
and 96 about and
405 about that 41
about and 1281 about
are 62 about being
43 about but 61
about for 58 about
than 95 about that
567 about was 82
about with 175 about
and 1173 about are
55 about being 44
about but 47 about
than 63 about that
318 about was 163
about rap 437 about
and 66 about and
158 about and 44
about and 175 about
all 286 about and
712 about dog 51
about her 137 about
his 255 about our
45 about that 47
about them 193 about
things 43 about this
138 about with 47
about and 82 about
being 63 about was
42 about and 41
about him 60 about
and 80 about and
47 about and 24914
about are 1641 about
being 64 about bias
1474 about but 308
about can 370 about
did 56 about for
192 about had 92
about has 192 about
may 229 about not
65 about per 50
about than 398 about
that 3904 about was
218 about with 244
about and 400 about
and 286 about are
47 about and 46
about and 786 about
are 52 about being
143 about that 152
about and 233 about
and 105 about and
315 about for 183
about with 176 about
and 1241 about than
138 about that 105
about and 65 about
bay 272 about and
312 about and 105
about air 608 about
and 1102 about art
515 about east 115
about law 127 about
war 400 about and
6156 about are 136
about being 77 about
but 79 about for
75 about had 42
about than 83 about
that 518 about was
81 about who 179
about with 68 about
and 69 about and
54 about and 81
about and 460 about
and 82 about age
72 about and 103
about and 46 about
and 44 about and
167 about and 159
about and 93 about
and 52 about and
566 about war 62
about and 157 about
things 95 about and
142 about and 41
about and 86 about
age 77 about boy
52 about and 80
about and 59 about
and 530 about that
63 about was 114
about with 40 about
and 48 about and
618 about that 139
about and 59 about
for 40 about her
121 about him 58
about his 95 about
one 105 about that
44 about them 41
about and 57 about
and 146 about and
1728 about are 61
about but 87 about
can 45 about for
86 about may 41
about than 113 about
that 134 about was
66 about and 146
about and 308 about
that 43 about and
130 about and 197
about and 60 about
any 144 about her
111 about him 222
about his 126 about
new 73 about that
46 about them 265
about this 237 about
too 56 about you
91 about and 680
about for 209 about
that 175 about and
374 about and 96
about and 340 about
that 133 about and
56 about for 45
about and 409 about
and 454 about job
42 about new 71
about than 300 about
things 276 about use
175 about and 2362
about are 58 about
but 64 about for
95 about had 57
about than 101 about
that 348 about was
100 about with 85
about and 85 about
and 432 about who
55 about and 134
about and 61 about
each 95 about her
59 about his 46
about one 119 about
and 300 about for
107 about and 52
about and 70 about
and 60 about and
333 about his 44
about and 143 about
and 398 about for
60 about them 69
about and 3201 about
are 492 about being
72 about but 69
about can 182 about
for 164 about has
80 about may 85
about not 42 about
than 99 about that
2822 about they 162
about was 62 about
who 216 about with
313 about you 64
about and 98 about
and 177 about and
63 about her 129
about his 162 about
its 59 about our
93 about them 84
about and 96 about
and 252 about that
89 about and 169
about who 197 about
and 208 about and
84 about and 47
about and 62 about
and 58 about and
98 about and 723
about that 382 about
and 79 about with
60 about eve 103
about and 56 about
for 62 about and
52 about and 712
about are 67 about
for 49 about than
227 about that 304
about was 58 about
with 44 about and
50 about and 174
about being 42 about
all 129 about and
525 about any 130
about her 343 about
him 145 about his
376 about its 45
about men 272 about
new 43 about one
57 about our 125
about that 254 about
them 539 about things
132 about this 618
about and 772 about
that 133 about was
58 about and 334
about than 45 about
any 227 about and
62 about and 73
about and 257 about
that 206 about with
42 about and 125
about and 533 about
being 42 about that
129 about was 50
about and 81 about
lee 67 about and
315 about was 59
about and 60 about
and 324 about and
128 about and 53
about and 663 about
for 96 about and
121 about and 100
about and 655 about
are 42 about than
52 about that 184
about was 66 about
and 55 about and
44 about that 47
about and 273 about
and 92 about and
51 about and 99
about than 46 about
and 80 about and
260 about and 258
about and 52 about
and 278 about and
743 about and 193
about and 113 about
and 43 about and
195 about teas 101
about and 420 about
that 48 about and
127 about and 137
about and 85 about
men 81 about and
397 about that 57
about use 373 about
and 40 about and
185 about and 155
about and 65 about
and 151 about things
332 about and 550
about law 109 about
oil 44 about pay
65 about than 1323
about things 565 about
and 145 about and
158 about head 228
about and 353 about
and 4726 about are
49 about being 132
about but 113 about
for 53 about had
60 about than 139
about that 480 about
was 270 about with
49 about and 100
about and 49 about
and 192 about and
413 about for 55
about than 79 about
that 92 about and
50 about and 49
about and 86 about
and 130 about and
56 about and 384
about are 57 about
that 71 about and
53 about things 99
about abe 260 about
and 359 about men
143 about and 199
about god 183 about
her 94 about his
126 about one 420
about our 178 about
them 60 about and
157 about and 75
about and 332 about
dam 97 about was
46 about and 320
about that 41 about
and 71 about things
148 about and 256
about all 138 about
and 8970 about are
166 about being 168
about but 282 about
can 88 about for
358 about had 40
about has 41 about
not 54 about now
45 about than 1484
about that 1584 about
they 84 about too
55 about was 364
about who 57 about
with 261 about you
89 about and 1253
about for 42 about
that 135 about and
197 about and 2610
about are 101 about
being 175 about but
48 about for 307
about near 41 about
than 64 about that
850 about they 64
about with 162 about
and 459 about dean
157 about that 117
about was 53 about
and 94 about and
126 about and 125
about bay 963 about
and 226 about that
55 about was 97
about and 137 about
and 3239 about are
151 about being 336
about but 81 about
can 79 about has
41 about not 52
about than 162 about
that 1334 about was
112 about who 304
about with 98 about
and 46 about and
41 about and 679
about than 44 about
that 45 about was
83 about and 61
about and 225 about
that 52 about was
49 about and 74
about and 87 about
and 50 about and
45 about her 191
about him 110 about
his 139 about them
102 about this 54
about and 1753 about
are 89 about for
45 about that 1170
about was 121 about
and 266 about that
335 about them 50
about and 233 about
any 71 about her
66 about his 308
about its 126 about
new 91 about one
72 about our 168
about that 43 about
them 89 about this
92 about and 1577
about are 114 about
has 56 about that
296 about was 53
about with 139 about
and 337 about each
46 about for 74
about long 3500 about
per 62 about with
40 about and 3152
about are 133 about
but 55 about can
42 about for 124
about may 51 about
per 53 about tax
3978 about than 84
about that 177 about
was 98 about and
198 about and 190
about and 173 about
and 4634 about are
367 about being 291
about but 182 about
can 56 about for
171 about had 134
about may 41 about
not 107 about than
525 about that 1212
about they 62 about
was 324 about who
528 about with 148
about you 42 about
and 49 about air
755 about and 125
about and 189 about
and 708 about day
153 about death 86
about use 48 about
and 65 about and
236 about him 48
about his 65 about
and 538 about and
46 about and 118
about sex 149 about
and 652 about and
126 about and 865
about for 190 about
her 1053 about him
624 about his 974
about its 144 about
now 43 about one
331 about our 167
about that 266 about
them 330 about this
150 about with 140
about you 133 about
for 41 about was
